estuary,Year,Month,displacement,count
Hawkesbury_River,1990,1,15902.9563132323,741
Hawkesbury_River,1990,2,13712.563657966,672
Hawkesbury_River,1990,3,16407.783885952,744
Hawkesbury_River,1990,4,-1195.95374065137,720
Hawkesbury_River,1990,5,-1829.10740557413,744
Hawkesbury_River,1990,6,-7809.59205444693,720
Hawkesbury_River,1990,7,-18593.3940245037,744
Hawkesbury_River,1990,8,-15992.5831584079,744
Hawkesbury_River,1990,9,5361.35397208113,720
Hawkesbury_River,1990,10,6641.03516603264,744
Hawkesbury_River,1990,11,8470.10438784058,720
Hawkesbury_River,1990,12,8562.27999940893,744
Hawkesbury_River,1991,1,6607.14707354427,744
Hawkesbury_River,1991,2,12075.3869531162,672
Hawkesbury_River,1991,3,5538.90848483708,744
Hawkesbury_River,1991,4,4133.53587854915,720
Hawkesbury_River,1991,5,6445.9352127151,744
Hawkesbury_River,1991,6,-9187.40552749149,720
Hawkesbury_River,1991,7,-16662.4791523413,744
Hawkesbury_River,1991,8,-25821.7718819798,744
Hawkesbury_River,1991,9,-9389.83676391635,720
Hawkesbury_River,1991,10,8001.694582119,744
Hawkesbury_River,1991,11,9605.27911866845,720
Hawkesbury_River,1991,12,12007.6394059641,744
Hawkesbury_River,1992,1,12939.8292357574,744
Hawkesbury_River,1992,2,20696.7276928703,696
Hawkesbury_River,1992,3,13050.4380604511,744
Hawkesbury_River,1992,4,7270.99094053747,720
Hawkesbury_River,1992,5,-5769.4811569396,744
Hawkesbury_River,1992,6,-12052.6294284705,720
Hawkesbury_River,1992,7,-15563.5408156221,744
Hawkesbury_River,1992,8,-14686.1160524783,744
Hawkesbury_River,1992,9,-8538.94017232891,720
Hawkesbury_River,1992,10,5197.81290151475,744
Hawkesbury_River,1992,11,6774.2869640735,720
Hawkesbury_River,1992,12,13696.3832870455,744
Hawkesbury_River,1993,1,10619.6213214068,744
Hawkesbury_River,1993,2,7216.43588460197,672
Hawkesbury_River,1993,3,14080.349693851,744
Hawkesbury_River,1993,4,6495.97503829933,720
Hawkesbury_River,1993,5,-4534.05494799545,744
Hawkesbury_River,1993,6,-12453.0339466182,720
Hawkesbury_River,1993,7,-7336.59065084171,744
Hawkesbury_River,1993,8,-4430.99696306464,744
Hawkesbury_River,1993,9,-2084.21314744993,720
Hawkesbury_River,1993,10,609.918843199749,744
Hawkesbury_River,1993,11,7969.0856457978,720
Hawkesbury_River,1993,12,6784.66340253402,744
Hawkesbury_River,1994,1,11242.3412722198,744
Hawkesbury_River,1994,2,10636.8708377805,672
Hawkesbury_River,1994,3,15573.0581193435,744
Hawkesbury_River,1994,4,2943.95882685053,720
Hawkesbury_River,1994,5,-9549.89356581845,744
Hawkesbury_River,1994,6,-9491.56786297227,720
Hawkesbury_River,1994,7,-13348.4241717516,744
Hawkesbury_River,1994,8,-6499.17292871725,744
Hawkesbury_River,1994,9,-6403.43668095223,720
Hawkesbury_River,1994,10,4875.28417449943,744
Hawkesbury_River,1994,11,257.539956970028,720
Hawkesbury_River,1994,12,17395.7220143741,744
Hawkesbury_River,1995,1,15138.6318655257,744
Hawkesbury_River,1995,2,12504.744311973,672
Hawkesbury_River,1995,3,21143.2486546269,744
Hawkesbury_River,1995,4,-1503.39988002398,720
Hawkesbury_River,1995,5,-1516.89784137005,744
Hawkesbury_River,1995,6,-12516.6576470224,720
Hawkesbury_River,1995,7,-19460.4137113624,744
Hawkesbury_River,1995,8,-9306.02339714231,744
Hawkesbury_River,1995,9,4495.90936557756,720
Hawkesbury_River,1995,10,5786.36792753451,744
Hawkesbury_River,1995,11,3623.66804869322,720
Hawkesbury_River,1995,12,8452.92169305775,744
Hawkesbury_River,1996,1,13916.7036179276,744
Hawkesbury_River,1996,2,17423.5866177469,696
Hawkesbury_River,1996,3,11685.1488627149,744
Hawkesbury_River,1996,4,-2221.64606788795,720
Hawkesbury_River,1996,5,4223.05771836772,744
Hawkesbury_River,1996,6,-12566.6020131912,720
Hawkesbury_River,1996,7,-17494.2456770705,744
Hawkesbury_River,1996,8,-10119.0321467336,744
Hawkesbury_River,1996,9,-14286.9143229653,720
Hawkesbury_River,1996,10,1736.36858345456,744
Hawkesbury_River,1996,11,7352.86648117767,720
Hawkesbury_River,1996,12,11428.5730458411,744
Hawkesbury_River,1997,1,14659.7883456944,744
Hawkesbury_River,1997,2,13627.6047782065,672
Hawkesbury_River,1997,3,12005.3770178177,744
Hawkesbury_River,1997,4,1190.57937556096,720
Hawkesbury_River,1997,5,-1041.57677396916,744
Hawkesbury_River,1997,6,-3960.00020718409,720
Hawkesbury_River,1997,7,-6205.28202633999,744
Hawkesbury_River,1997,8,-13235.3906779052,744
Hawkesbury_River,1997,9,1047.46661990305,720
Hawkesbury_River,1997,10,2497.50468668479,744
Hawkesbury_River,1997,11,11095.0664860478,720
Hawkesbury_River,1997,12,10430.6116787957,744
Hawkesbury_River,1998,1,9832.5775328207,744
Hawkesbury_River,1998,2,7132.76570695114,672
Hawkesbury_River,1998,3,13490.5918791965,744
Hawkesbury_River,1998,4,2728.20145602742,720
Hawkesbury_River,1998,5,-729.720409602283,744
Hawkesbury_River,1998,6,-10586.5732717745,720
Hawkesbury_River,1998,7,-16279.6105288136,744
Hawkesbury_River,1998,8,6212.95696334298,744
Hawkesbury_River,1998,9,-6133.23880549218,720
Hawkesbury_River,1998,10,-5702.13453933244,744
Hawkesbury_River,1998,11,15422.7763615845,720
Hawkesbury_River,1998,12,12440.0896498818,744
Hawkesbury_River,1999,1,15559.6174336467,744
Hawkesbury_River,1999,2,17043.5531388583,672
Hawkesbury_River,1999,3,8188.44183658375,744
Hawkesbury_River,1999,4,8105.1439506532,720
Hawkesbury_River,1999,5,-7058.49828172311,744
Hawkesbury_River,1999,6,-6254.27179835415,720
Hawkesbury_River,1999,7,-2316.74273756939,744
Hawkesbury_River,1999,8,-6534.01561536022,744
Hawkesbury_River,1999,9,-883.753722388835,720
Hawkesbury_River,1999,10,3800.85981567042,744
Hawkesbury_River,1999,11,10515.8378449185,720
Hawkesbury_River,1999,12,9691.36441953044,744
Hawkesbury_River,2000,1,18900.0001210203,744
Hawkesbury_River,2000,2,7097.80846900962,696
Hawkesbury_River,2000,3,12249.5622025648,744
Hawkesbury_River,2000,4,4673.75980252143,720
Hawkesbury_River,2000,5,-10343.447686539,744
Hawkesbury_River,2000,6,-13039.9375247505,720
Hawkesbury_River,2000,7,-10497.2328048453,744
Hawkesbury_River,2000,8,-13589.640568678,744
Hawkesbury_River,2000,9,-7689.06499648689,720
Hawkesbury_River,2000,10,550.075335647767,744
Hawkesbury_River,2000,11,10362.4918399233,720
Hawkesbury_River,2000,12,10393.0674906952,744
Hawkesbury_River,2001,1,14550.2200286292,744
Hawkesbury_River,2001,2,15325.9614224248,672
Hawkesbury_River,2001,3,11813.3985873857,744
Hawkesbury_River,2001,4,1794.14062169107,720
Hawkesbury_River,2001,5,-1140.74956069075,744
Hawkesbury_River,2001,6,-14076.8558792452,720
Hawkesbury_River,2001,7,-9127.63838747187,744
Hawkesbury_River,2001,8,-20367.1349691109,744
Hawkesbury_River,2001,9,-5333.89984419479,720
Hawkesbury_River,2001,10,-7085.38919905824,744
Hawkesbury_River,2001,11,8900.12041666407,720
Hawkesbury_River,2001,12,8246.13750728789,744
Hawkesbury_River,2002,1,13332.9979302133,744
Hawkesbury_River,2002,2,12352.2956254831,672
Hawkesbury_River,2002,3,16325.2114915789,744
Hawkesbury_River,2002,4,5064.97157896036,720
Hawkesbury_River,2002,5,-3715.4331847751,744
Hawkesbury_River,2002,6,-12649.7853478232,720
Hawkesbury_River,2002,7,-15071.1897885031,744
Hawkesbury_River,2002,8,-5037.58427266483,744
Hawkesbury_River,2002,9,-7648.05563160519,720
Hawkesbury_River,2002,10,5992.47435145459,744
Hawkesbury_River,2002,11,10997.5260553306,720
Hawkesbury_River,2002,12,11078.40881805,744
Hawkesbury_River,2003,1,16839.2508978905,744
Hawkesbury_River,2003,2,11565.6050367341,672
Hawkesbury_River,2003,3,8430.78465461253,744
Hawkesbury_River,2003,4,6741.12436314263,720
Hawkesbury_River,2003,5,4087.72490506981,744
Hawkesbury_River,2003,6,-15317.9810152923,720
Hawkesbury_River,2003,7,-14041.5836252327,744
Hawkesbury_River,2003,8,-11376.7290373046,744
Hawkesbury_River,2003,9,-9889.17542024703,720
Hawkesbury_River,2003,10,3234.45137403741,744
Hawkesbury_River,2003,11,12194.2625631887,720
Hawkesbury_River,2003,12,13526.8473651883,744
Hawkesbury_River,2004,1,7729.83571282993,744
Hawkesbury_River,2004,2,13013.3234397202,696
Hawkesbury_River,2004,3,14207.3011704715,744
Hawkesbury_River,2004,4,1959.17085913863,720
Hawkesbury_River,2004,5,-9187.34825184221,744
Hawkesbury_River,2004,6,-18951.1377298823,720
Hawkesbury_River,2004,7,-8634.97234428186,744
Hawkesbury_River,2004,8,-13958.5721175485,744
Hawkesbury_River,2004,9,-2752.98272028088,720
Hawkesbury_River,2004,10,10764.2518817705,744
Hawkesbury_River,2004,11,5719.62270424474,720
Hawkesbury_River,2004,12,12332.1441428794,744
Hawkesbury_River,2005,1,15910.3162341643,744
Hawkesbury_River,2005,2,8964.5173383335,672
Hawkesbury_River,2005,3,14656.6763687504,744
Hawkesbury_River,2005,4,3005.96926313346,720
Hawkesbury_River,2005,5,4798.99300966364,744
Hawkesbury_River,2005,6,-8525.01264361327,720
Hawkesbury_River,2005,7,-16075.2701040795,744
Hawkesbury_River,2005,8,-12031.0078708687,744
Hawkesbury_River,2005,9,-6525.97793257847,720
Hawkesbury_River,2005,10,4463.39588867182,744
Hawkesbury_River,2005,11,9813.01789859289,720
Hawkesbury_River,2005,12,1847.44515928403,744
Hawkesbury_River,2006,1,13733.0778863484,744
Hawkesbury_River,2006,2,14005.4999661887,672
Hawkesbury_River,2006,3,16031.6928809219,744
Hawkesbury_River,2006,4,-4587.40721529615,720
Hawkesbury_River,2006,5,-6262.1853838958,744
Hawkesbury_River,2006,6,-7243.40316946948,720
Hawkesbury_River,2006,7,-10104.5700452914,744
Hawkesbury_River,2006,8,59.7957778442544,744
Hawkesbury_River,2006,9,4588.66727958022,720
Hawkesbury_River,2006,10,7862.44793278724,744
Hawkesbury_River,2006,11,8801.1385487734,720
Hawkesbury_River,2006,12,13795.8806357797,744
Hawkesbury_River,2007,1,10401.1815410093,744
Hawkesbury_River,2007,2,12134.9631743049,672
Hawkesbury_River,2007,3,10980.7347441511,744
Hawkesbury_River,2007,4,6547.53266858938,720
Hawkesbury_River,2007,5,-11717.7482530946,744
Hawkesbury_River,2007,6,-2345.03690831179,720
Hawkesbury_River,2007,7,-15695.0552523016,744
Hawkesbury_River,2007,8,-3988.66666964678,744
Hawkesbury_River,2007,9,669.237323966711,720
Hawkesbury_River,2007,10,5401.4851103406,744
Hawkesbury_River,2007,11,12698.5651091233,720
Hawkesbury_River,2007,12,13283.0822018691,744
Hawkesbury_River,2008,1,18203.3182151088,744
Hawkesbury_River,2008,2,12071.6735818548,696
Hawkesbury_River,2008,3,5259.6419649083,744
Hawkesbury_River,2008,4,11558.9706073597,720
Hawkesbury_River,2008,5,-5426.08500170468,744
Hawkesbury_River,2008,6,-3185.20386160151,720
Hawkesbury_River,2008,7,-14253.2935168403,744
Hawkesbury_River,2008,8,-12510.1186770634,744
Hawkesbury_River,2008,9,3375.12991460109,720
Hawkesbury_River,2008,10,4817.93215769094,744
Hawkesbury_River,2008,11,2558.22642085902,720
Hawkesbury_River,2008,12,6535.54296600758,744
Hawkesbury_River,2009,1,8994.12884900926,744
Hawkesbury_River,2009,2,20534.3894109387,672
Hawkesbury_River,2009,3,10204.5065073367,744
Hawkesbury_River,2009,4,5645.6607491462,720
Hawkesbury_River,2009,5,8733.73465551697,744
Hawkesbury_River,2009,6,-13892.7623965302,720
Hawkesbury_River,2009,7,-16354.6511753068,744
Hawkesbury_River,2009,8,-16184.3515781259,744
Hawkesbury_River,2009,9,-11886.4154942712,720
Hawkesbury_River,2009,10,6287.78759912223,744
Hawkesbury_River,2009,11,9835.23130457048,720
Hawkesbury_River,2009,12,13520.9288814297,744
Hawkesbury_River,2010,1,11977.8847061651,744
Hawkesbury_River,2010,2,11950.3160269802,672
Hawkesbury_River,2010,3,11373.6552441268,744
Hawkesbury_River,2010,4,-1435.3850465086,720
Hawkesbury_River,2010,5,-5725.5030042371,744
Hawkesbury_River,2010,6,-5435.33501906278,720
Hawkesbury_River,2010,7,-8665.90119489096,744
Hawkesbury_River,2010,8,-18479.5491256259,744
Hawkesbury_River,2010,9,-4809.28353465025,720
Hawkesbury_River,2010,10,5247.62362450188,744
Hawkesbury_River,2010,11,8208.3642165903,720
Hawkesbury_River,2010,12,3131.44111881434,744
Hawkesbury_River,2011,1,13389.9776553014,744
Hawkesbury_River,2011,2,9757.41278908734,672
Hawkesbury_River,2011,3,9708.89076820893,744
Hawkesbury_River,2011,4,8236.49610632641,720
Hawkesbury_River,2011,5,-3592.30963071455,744
Hawkesbury_River,2011,6,543.784560168938,720
Hawkesbury_River,2011,7,-12720.3584936729,744
Hawkesbury_River,2011,8,-693.445831727417,744
Hawkesbury_River,2011,9,-3949.24193106173,720
Hawkesbury_River,2011,10,9730.69369870004,744
Hawkesbury_River,2011,11,5728.03267874679,720
Hawkesbury_River,2011,12,18262.4362311033,744
Hawkesbury_River,2012,1,13534.3122914772,744
Hawkesbury_River,2012,2,9348.54102078828,696
Hawkesbury_River,2012,3,8192.27930508525,744
Hawkesbury_River,2012,4,-572.288741625348,720
Hawkesbury_River,2012,5,-9581.90110782225,744
Hawkesbury_River,2012,6,-8051.65804017086,720
Hawkesbury_River,2012,7,-6309.71462685343,744
Hawkesbury_River,2012,8,-14049.3922054173,744
Hawkesbury_River,2012,9,-6639.27871278816,720
Hawkesbury_River,2012,10,6544.43023758693,744
Hawkesbury_River,2012,11,13225.9974714239,720
Hawkesbury_River,2012,12,14775.1224114534,744
Hawkesbury_River,2013,1,12383.9404217081,744
Hawkesbury_River,2013,2,14260.4720648829,672
Hawkesbury_River,2013,3,6886.74770142715,744
Hawkesbury_River,2013,4,458.825680409372,720
Hawkesbury_River,2013,5,-4688.77556857332,744
Hawkesbury_River,2013,6,-5811.72194828074,720
Hawkesbury_River,2013,7,-13600.5706717482,744
Hawkesbury_River,2013,8,-17433.3807537731,744
Hawkesbury_River,2013,9,-8550.98715055999,720
Hawkesbury_River,2013,10,-1533.46959589394,744
Hawkesbury_River,2013,11,16024.3711437561,720
Hawkesbury_River,2013,12,6651.76480433035,744
Hawkesbury_River,2014,1,10479.1814293818,744
Hawkesbury_River,2014,2,12287.8414281643,672
Hawkesbury_River,2014,3,804.045110479594,744
Hawkesbury_River,2014,4,595.399466108256,720
Hawkesbury_River,2014,5,-12567.9193531245,744
Hawkesbury_River,2014,6,-15830.7317194952,720
Hawkesbury_River,2014,7,-17483.344211825,744
Hawkesbury_River,2014,8,5717.94261853265,744
Hawkesbury_River,2014,9,384.205055344147,720
Hawkesbury_River,2014,10,3507.64667514292,744
Hawkesbury_River,2014,11,9794.11693433178,720
Hawkesbury_River,2014,12,10602.8109183443,744
Hawkesbury_River,2015,1,12072.9431920804,744
Hawkesbury_River,2015,2,10764.0800548227,672
Hawkesbury_River,2015,3,11111.9150728765,744
Hawkesbury_River,2015,4,9416.47948677129,720
Hawkesbury_River,2015,5,-9352.22575422504,744
Hawkesbury_River,2015,6,-10104.3982183436,720
Hawkesbury_River,2015,7,-16570.6090109024,744
Hawkesbury_River,2015,8,-11328.5124865557,744
Hawkesbury_River,2015,9,5883.87972042708,720
Hawkesbury_River,2015,10,4981.49232014042,744
Hawkesbury_River,2015,11,8718.909808296,720
Hawkesbury_River,2015,12,13328.1295000248,744
Hawkesbury_River,2016,1,13045.6746356197,744
Hawkesbury_River,2016,2,14331.0165729079,696
Hawkesbury_River,2016,3,3509.34585273811,744
Hawkesbury_River,2016,4,6072.83208738898,720
Hawkesbury_River,2016,5,-16432.0114855958,744
Hawkesbury_River,2016,6,-18041.2758573651,720
Hawkesbury_River,2016,7,-20127.8086686107,744
Hawkesbury_River,2016,8,-4864.69772532488,744
Hawkesbury_River,2016,9,-12933.4048170969,720
Hawkesbury_River,2016,10,-6650.02744296898,744
Hawkesbury_River,2016,11,5570.41009193893,720
Hawkesbury_River,2016,12,7013.18369720415,744
Hawkesbury_River,2017,1,10687.9893547594,744
Hawkesbury_River,2017,2,11519.9658902026,672
Hawkesbury_River,2017,3,14970.556472725,744
Hawkesbury_River,2017,4,2466.12717682302,720
Hawkesbury_River,2017,5,-4257.42310793338,744
Hawkesbury_River,2017,6,-1421.56252314997,720
Hawkesbury_River,2017,7,-18892.9361242762,744
Hawkesbury_River,2017,8,-11438.8635708277,744
Hawkesbury_River,2017,9,-12973.1159339284,720
Hawkesbury_River,2017,10,8823.64787893891,744
Hawkesbury_River,2017,11,11449.3163768205,720
Hawkesbury_River,2017,12,8475.49784481409,744
Hawkesbury_River,2018,1,12065.4114442006,744
Hawkesbury_River,2018,2,12495.6947593874,672
Hawkesbury_River,2018,3,16111.9169736747,744
Hawkesbury_River,2018,4,4151.21496229238,720
Hawkesbury_River,2018,5,-8349.60596770519,744
Hawkesbury_River,2018,6,-9115.02819868958,720
Hawkesbury_River,2018,7,-16676.4066810569,744
Hawkesbury_River,2018,8,-12743.8892395838,744
Hawkesbury_River,2018,9,3161.33900773646,720
Hawkesbury_River,2018,10,13216.4897136441,744
Hawkesbury_River,2018,11,2310.52832962293,720
Hawkesbury_River,2018,12,6717.26905521914,744
Hawkesbury_River,2019,1,8900.92227575394,744
Hawkesbury_River,2019,2,11779.5200408389,672
Hawkesbury_River,2019,3,66.2870180955516,3
